IRI,Label,Subset,Definition,Xrefs,Synonyms,Expert_Approved,Expert_Comment,Suggested_Correction,Auto_Xref,Auto_Xref_Source,Auto_Definition,PMID_Evidence,Suggested_Subset,Reclassify_Reason,Duplicate_Of,Label_Quality,Disease_Boundary_Note
ARDS_POI_03261,Severe ARDS context PaO2/FiO2 less than 150,POI_context,"Clinical context defined by PaO₂/FiO₂ <150 mmHg on PEEP ≥5 cmH₂O for >12–36h on mechanical ventilation. Mandatory eligibility threshold for prone positioning benefit (PROSEVA, PMID 23688302) and a key",,,,,,Thesaurus.owl#C61585,BioPortal,,22797452,,,ARDS_POI_03233,,
ARDS_POI_03233,Severe ARDS context PaO2/FiO2 less than 150,POI_context,PaO₂/FiO₂ <150 mmHg on PEEP ≥5 cmH₂O for >12–36h. Required for prone benefit (PROSEVA) and VV-ECMO consideration (EOLIA).,,,,,,Thesaurus.owl#C61585,BioPortal,,22797452,,,ARDS_POI_03261,,
ARDS_POI_03284,Conservative fluid management strategy,POI_intervention,Restrictive fluid strategy targeting zero or negative cumulative fluid balance in ARDS. FACTT trial (PMID:16714767): negative fluid balance improved oxygenation and reduced ventilator days without inc,,,,,,Thesaurus.owl#C173582,BioPortal,,,,,ARDS_POI_01020,,
ARDS_POI_01020,Conservative fluid management strategy,POI_intervention,,,,,,,Thesaurus.owl#C173582,BioPortal,"The promotion of optimal fluid balance, especially in the inpatient setting, through ongoing clinical assessment and monitoring of intravascular volume, and accurate replacement of fluid losses.",,,,ARDS_POI_03284,,
ARDS_POI_03220,Transpulmonary pressure monitoring,POI_intervention,Oesophageal manometry to measure PL = Paw − Peso. Enables individualised PEEP and P-SILI detection.,,,,,,261446009,BioPortal,,27115558,,,ARDS_POI_01143,,
ARDS_POI_01143,Transpulmonary pressure monitoring,POI_mechanism,,,,,,,Thesaurus.owl#C191572,BioPortal,The difference between the mean pulmonary artery pressure and the mean pulmonary capillary wedge pressure.,27115558,,,ARDS_POI_03220,,
ARDS_POI_03067,ARDS incidence reduction,POI_outcome,,,,,,,Thesaurus.owl#C16726,BioPortal,The relative frequency of occurrence of something.,,,,ARDS_POI_02863,,
ARDS_POI_02863,Ards incidence reduction,POI_outcome,,,,,,,Thesaurus.owl#C16726,BioPortal,The relative frequency of occurrence of something.,,,,ARDS_POI_03067,,
ARDS_POI_03225,Driving pressure,POI_outcome,"ΔP = Pplat − PEEP. Tidal volume normalised to functional lung size. ΔP >15 cmH₂O independently predicts ARDS mortality (Amato NEJM 2015, PMID 25693014).",,,,,,LP217222-1,BioPortal,,28973363,,,ARDS_POI_01755,,
ARDS_POI_01755,Driving pressure,POI_outcome,,,,,,,LP217222-1,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",28973363,,,ARDS_POI_03225,,
ARDS_POI_02214,No reduction in PPCs after cardiac or abdominal surgery,POI_outcome,,,,,,,408466002,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,,,ARDS_POI_03029,,
ARDS_POI_03029,No reduction in PPCs after cardiac or abdominal surgery,POI_outcome,,,,,,,408466002,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,,,ARDS_POI_02214,,
